Kalkulationsstruktur,Preiseinheit,ME,     Preis,Kalkulationslosgrî·e, Menge,BWME,Wert Gesamt,WÑhrung,Ressource,Fehlerstatus,Preisstrategie (Text),Kostenart (Text),Kennzeichen Baugruppe
Malerei Zusatzarbeiten,1,H,76.7,0,0.05,H,3.84,CHF,21040104   21040104 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Zuschlag MGK,,,0,,,,4.86,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,3.73,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Blech  (K),1,ST,3.72,5,1,ST,3.72,CHF,CH10 10174408,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.008,H,0.83,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  2,00x1500x3000  DC01",1,M2,27.68,0,0.053,M2,1.47,CHF,CH10 1300090,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.01,H,0.86,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,0.11,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,0.44,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Blech  (K),1,ST,5.33,5,1,ST,5.33,CHF,CH10 10174409,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.008,H,0.83,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  2,00x1500x3000  DC01",1,M2,27.68,0,0.107,M2,2.96,CHF,CH10 1300090,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.01,H,0.86,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,0.23,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,0.44,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Blech  (K),1,ST,5.39,5,1,ST,5.39,CHF,CH10 10174411,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.008,H,0.83,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  2,00x1500x3000  DC01",1,M2,27.68,0,0.109,M2,3.02,CHF,CH10 1300090,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.01,H,0.86,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,0.24,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,0.44,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Blech  (K),1,ST,11.84,5,1,ST,11.84,CHF,CH10 10174412,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.01,H,1.04,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  2,00x1500x3000  DC01",1,M2,27.68,0,0.196,M2,5.43,CHF,CH10 1300090,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert 2,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 2,1,H,71.16,0,0.01,H,0.71,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.01,H,0.86,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,0.42,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,1.24,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Distanzhalter  20xSW10-M6 i11+a10 St.vz,1,ST,0.26,0,7,ST,1.82,CHF,CH10 2354874,,Preis aus Einkaufsinfosatz,Zukaufteile,
U-Profil  (K),1,ST,10.65,5,2,ST,21.3,CHF,CH10 10178769,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.02,H,2.09,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  1,50x1500x3000  DC01",1,M2,20.14,0,0.064,M2,1.29,CHF,CH10 1300063,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert 1,1,H,71.16,0,0.06,H,4.27,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 1,1,H,71.16,0,0.06,H,4.27,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.06,H,5.18,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,0.1,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,4.11,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Tablar  (K),1,ST,18.27,15,3,ST,54.82,CHF,CH10 10178768,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.036,H,3.76,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  1,50x1500x3000  DC01",1,M2,20.14,0,0.642,M2,12.93,CHF,CH10 1300063,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert 1,1,H,71.16,0,0.05,H,3.56,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 1,1,H,71.16,0,0.135,H,9.61,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.18,H,15.53,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,1.01,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,8.44,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Halter  (K),1,ST,18.08,5,1,ST,18.08,CHF,CH10 10178770,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.015,H,1.56,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  1,50x1500x3000  DC01",1,M2,20.14,0,0.158,M2,3.18,CHF,CH10 1300063,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert 1,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 1,1,H,71.16,0,0.075,H,5.34,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.03,H,2.59,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,0.25,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,3.02,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Halter  (K),1,ST,36.59,5,1,ST,36.59,CHF,CH10 10182635,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.019,H,1.98,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  3x1500x3000 DD11,1,M2,39.28,0,0.487,M2,19.13,CHF,CH10 1301096,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert 1,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 1,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.03,H,2.59,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Zusatzarbeiten,1,H,76.7,0,0,H,0,CHF,21040104   21040104 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Malerei Zusatzarbeiten,1,H,76.7,0,0.05,H,3.84,CHF,21040104   21040104 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Zuschlag MGK,,,0,,,,1.49,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,3.3,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Druckregler  N2,1,ST,2119,0,1,ST,2119,CHF,CH10 10149952,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Druckregler  CA / O2 / Ar / Mix,1,ST,923,0,1,ST,923,CHF,CH10 10147282,,Preis aus Einkaufsinfosatz,Zukaufteile,
Dichtring  0-1/2 Nr.2226,1,ST,0.18,1,2,ST,0.36,CHF,CH10 7053850,,Preis aus Einkaufsinfosatz,Zukaufteile,
Kleber  Supply unit,1,ST,1.27,0,1,ST,1.27,CHF,CH10 10174969,,Preis aus Einkaufsinfosatz,Zukaufteile,
Kabelsatz  +A5 VG,1,ST,221.62,0,1,ST,221.62,CHF,CH10 10172752,,Preis aus Einkaufsinfosatz,Zukaufteile,
Schlauchsatz  Versorgung A5,1,ST,31.86,0,1,ST,31.86,CHF,CH10 10168103,,Preis aus Einkaufsinfosatz,Zukaufteile,
Blech  (K),1,ST,25.16,5,1,ST,25.16,CHF,CH10 10174416,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.01,H,1.04,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  2,00x1500x3000  DC01",1,M2,27.68,0,0.501,M2,13.87,CHF,CH10 1300090,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert 1,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 1,1,H,71.16,0,0.045,H,3.2,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.02,H,1.73,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,1.08,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,2.11,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Blech  (K),1,ST,25.16,5,1,ST,25.16,CHF,CH10 10174417,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.01,H,1.04,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  2,00x1500x3000  DC01",1,M2,27.68,0,0.501,M2,13.87,CHF,CH10 1300090,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert 1,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 1,1,H,71.16,0,0.045,H,3.2,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.02,H,1.73,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,1.08,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,2.11,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Blech  (K),1,ST,56.29,5,1,ST,56.29,CHF,CH10 10174419,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.012,H,1.25,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  2,00x1500x3000  DC01",1,M2,27.68,0,1.289,M2,35.68,CHF,CH10 1300090,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert 1,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 1,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.1,H,8.63,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,2.78,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,3.68,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Blech  (K),1,ST,49.2,5,1,ST,49.2,CHF,CH10 10174420,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.01,H,1.04,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  2,00x1500x3000  DC01",1,M2,27.68,0,0.97,M2,26.85,CHF,CH10 1300090,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert 1,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 1,1,H,71.16,0,0.06,H,4.27,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.1,H,8.63,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,2.09,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,4.18,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Kanal  (K),1,ST,21.59,5,1,ST,21.59,CHF,CH10 10174418,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.013,H,1.36,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  2,00x1500x3000  DC01",1,M2,27.68,0,0.413,M2,11.43,CHF,CH10 1300090,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert 1,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 1,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.02,H,1.73,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,0.89,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,1.91,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Halter  (K),1,ST,4.69,20,4,ST,18.75,CHF,CH10 10173500,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSTAR 4020,1,H,104.33,0,0,H,0,CHF,21032101   21032102 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSTAR 4020,1,H,104.33,0,0.044,H,4.59,CHF,21032101   21032102 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  8x1500x4000 S235JRG2,1,M2,107.4,0,0.028,M2,3.01,CHF,CH10 1301007,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert 2,1,H,71.16,0,0.02,H,1.42,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 2,1,H,71.16,0,0.04,H,2.85,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.04,H,3.45,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,0.23,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,3.2,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Halter,1,ST,28.86,10,2,ST,57.72,CHF,CH10 10173508,,,Eigenfertigung,X
,,,,,,,,,,,,,
Lehrlinge frÑsen CNC,1,H,60,0,0.15,H,9,CHF,200110     20011003 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Lehrlinge frÑsen CNC,1,H,60,0,0.4,H,24,CHF,200110     20011003 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Flach-St  80/60 S235JRC+C,"       1,000",MM,71.98,0,208,MM,14.97,CHF,CH10 1251252,,Preis aus Einkaufsinfosatz,Rohmaterial,
Zuschlag MGK,,,0,,,,1.17,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,8.58,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Blech,1,ST,10.38,0,2,ST,20.76,CHF,CH10 10076662,,Preis aus Einkaufsinfosatz,Zukaufteile,
Blech,1,ST,10.23,0,2,ST,20.45,CHF,CH10 10076659,,Preis aus Einkaufsinfosatz,Zukaufteile,
Blech,1,ST,15.18,0,2,ST,30.36,CHF,CH10 10076660,,Preis aus Einkaufsinfosatz,Zukaufteile,
Blech,1,ST,3.4,0,12,ST,40.8,CHF,CH10 10076661,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Einstelllehre,1,ST,5.78,5,1,ST,5.78,CHF,CH10 10179505,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.015,H,1.56,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  2,5x1000x2000 X5CrNi18-10",1,M2,94.06,0,0.011,M2,1.03,CHF,CH10 1700058,,Bewertungspreis laut Preissteuerung im Materialstamm,Zukaufteile,
Abkanten Xpert 2,1,H,71.16,0,0.02,H,1.42,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 2,1,H,71.16,0,0.01,H,0.71,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,0.08,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,0.96,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Einstelllehre,1,ST,8.02,5,1,ST,8.02,CHF,CH10 10179506,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.016,H,1.67,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  2,5x1000x2000 X5CrNi18-10",1,M2,94.06,0,0.023,M2,2.16,CHF,CH10 1700058,,Bewertungspreis laut Preissteuerung im Materialstamm,Zukaufteile,
Abkanten Xpert 2,1,H,71.16,0,0.02,H,1.42,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 2,1,H,71.16,0,0.02,H,1.42,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,0.17,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,1.17,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Scheibe  ISO7093 M10 140HV A2,1,ST,0.06,0,2,ST,0.11,CHF,CH10 10018259,,Preis aus Einkaufsinfosatz,Zukaufteile,
